CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
54,18,3,12,87,low
69,8,0,14,91,normal
52,19,6,10,87,low
66,8,0,12,86,low
54,11,0,13,78,normal
151,48,15,3,217,heavy
170,62,18,2,252,heavy
134,59,11,3,207,heavy
166,63,22,1,252,heavy
173,64,10,2,249,heavy
176,45,22,2,245,heavy
162,59,27,1,249,heavy
171,46,15,3,235,heavy
158,44,26,2,230,heavy
151,64,16,0,231,heavy
162,65,14,3,244,heavy
179,44,23,1,247,heavy
175,59,11,3,248,heavy
173,63,13,2,251,heavy
144,66,11,3,224,heavy
132,68,22,4,226,heavy
161,50,10,0,221,heavy
151,56,29,1,237,heavy
168,59,24,1,252,heavy
144,65,20,3,232,heavy
179,63,12,2,256,heavy
161,56,12,4,233,heavy
134,67,12,1,214,heavy
140,70,23,4,237,heavy
66,29,24,1,120,normal
60,27,17,2,106,normal
89,27,10,2,128,normal
81,29,5,0,115,normal
78,22,12,1,113,normal
71,24,18,2,115,normal
50,26,9,1,86,low
55,28,5,0,88,low
61,20,25,1,107,normal
76,22,14,2,114,normal
50,20,23,1,94,normal
89,26,0,2,117,normal
62,20,17,0,99,normal
83,20,23,2,128,normal
65,20,2,0,87,low
60,21,2,1,84,low
36,8,3,9,56,low
39,5,4,11,59,low
26,8,3,0,37,low
23,4,0,5,32,low
50,2,0,4,56,low
30,2,3,1,36,low
48,10,4,2,64,low
39,6,6,1,52,low
47,10,3,9,69,low
26,3,5,3,37,low
25,6,3,9,43,low
19,1,0,11,31,low
16,5,0,26,47,normal
15,2,1,39,57,normal
14,5,0,11,30,low
12,2,0,20,34,normal
11,2,0,35,48,normal
18,5,1,11,35,low
17,2,0,20,39,normal
19,5,1,30,55,normal
17,4,1,24,46,normal
16,3,0,14,33,normal
16,3,1,23,43,normal
20,0,1,17,38,normal
20,0,0,37,57,normal
18,0,1,30,49,normal
19,1,0,14,34,normal
18,5,0,29,52,normal
11,1,0,22,34,normal
20,3,0,24,47,normal
12,2,1,10,25,low
19,5,1,31,56,normal
10,0,0,32,42,normal
14,1,1,12,28,low
14,2,1,24,41,normal
10,3,0,32,45,normal
97,23,6,17,143,normal
104,22,7,11,144,normal
100,15,8,20,143,normal
87,7,7,4,105,low
77,27,8,10,122,normal
51,7,4,5,67,low
79,1,10,6,96,low
100,40,29,5,174,heavy
112,13,39,0,164,high
120,16,34,2,172,heavy
123,14,26,3,166,high
142,27,27,4,200,heavy
139,38,49,2,228,heavy
134,24,21,2,181,heavy
102,13,31,0,146,high
102,16,43,4,165,high
106,16,32,1,155,high
117,19,42,3,181,heavy
139,36,40,3,218,heavy
121,13,25,2,161,normal
65,19,16,11,111,normal
12,25,39,28,104,normal
98,21,10,5,134,normal
58,9,25,13,105,normal
81,10,39,29,159,high
67,20,33,29,149,high
68,22,25,16,131,normal
47,10,6,22,85,normal
45,7,10,27,89,normal
54,5,11,24,94,normal
61,7,15,28,111,normal
56,5,4,29,94,normal
23,5,4,27,59,normal
31,6,8,23,68,normal
27,7,14,28,76,normal
30,7,3,30,70,normal
114,21,5,14,154,normal
46,24,35,16,121,high
68,29,29,20,146,high
45,16,15,5,81,low
86,13,11,20,130,normal
44,11,19,15,89,normal
45,17,13,20,95,normal
106,17,7,12,142,normal
44,16,9,13,82,normal
77,23,13,9,122,normal
53,17,26,8,104,normal
138,18,20,8,184,heavy
142,24,39,9,214,heavy
114,25,21,7,167,normal
116,35,42,6,199,heavy
149,22,37,8,216,heavy
100,12,39,7,158,high
101,23,45,5,174,heavy
122,40,48,10,220,heavy
112,34,39,9,194,heavy
112,12,41,5,170,heavy
116,22,23,7,168,heavy
90,13,15,33,151,high
85,14,14,13,126,normal
59,25,13,27,124,high
108,5,15,22,150,high
75,8,16,25,124,high
96,15,12,27,150,high
61,17,10,8,96,low
84,25,20,30,159,high
55,9,12,19,95,normal
65,16,12,32,125,high
87,16,10,16,129,normal
75,5,12,21,113,high
82,16,14,34,146,high
11,3,0,34,48,normal
15,5,0,14,34,normal
18,5,1,13,37,normal
19,2,1,34,56,normal
20,4,1,26,51,normal
14,4,0,10,28,low
11,1,1,36,49,normal
10,2,1,15,28,normal
10,3,0,33,46,normal
14,3,0,23,40,normal
11,5,1,11,28,low
10,1,1,34,46,normal
20,4,1,17,42,normal
17,5,0,24,46,normal
12,2,1,18,33,normal
15,0,1,16,32,normal
19,5,0,15,39,normal
11,3,1,39,54,normal
14,5,0,10,29,low
20,0,1,33,54,normal
13,1,1,33,48,normal
18,2,1,12,33,low
19,2,1,23,45,normal
10,4,0,36,50,normal
13,4,0,17,34,normal
86,28,2,18,134,normal
59,29,9,14,111,normal
102,20,9,13,144,normal
114,28,8,16,166,normal
87,23,5,0,115,normal
88,5,8,13,114,normal
83,6,4,9,102,low
150,19,24,3,196,heavy
148,35,46,1,230,heavy
146,23,23,4,196,heavy
140,21,39,3,203,heavy
149,36,35,1,221,heavy
125,34,42,0,201,heavy
147,34,20,5,206,heavy
128,33,21,4,186,heavy
111,38,50,5,204,heavy
144,20,32,4,200,heavy
121,14,23,1,159,normal
136,36,40,4,216,heavy
114,21,23,1,159,normal
75,17,37,29,158,high
34,5,27,22,88,normal
45,6,7,15,73,normal
65,10,6,27,108,normal
67,25,20,18,130,normal
50,25,25,28,128,high
37,19,38,12,106,normal
36,8,3,29,76,normal
63,5,8,23,99,normal
67,5,7,22,101,normal
36,9,14,22,81,normal
57,8,10,22,97,normal
65,7,14,25,111,normal
54,10,3,29,96,normal
41,5,4,25,75,normal
43,9,3,25,80,normal
9,27,32,17,85,normal
101,28,18,20,167,normal
99,16,16,18,149,normal
20,27,32,12,91,normal
96,16,39,17,168,heavy
62,28,18,20,128,normal
58,27,17,5,107,normal
60,18,28,12,118,high
81,26,13,17,137,normal
118,15,27,13,173,heavy
53,12,25,20,110,normal
132,12,27,9,180,heavy
149,14,50,5,218,heavy
106,35,41,5,187,heavy
150,29,27,7,213,heavy
110,30,46,5,191,heavy
129,35,34,5,203,heavy
133,21,26,5,185,heavy
148,34,45,7,234,heavy
144,39,43,8,234,heavy
126,27,44,8,205,heavy
103,34,49,5,191,heavy
96,7,13,30,146,high
54,17,17,19,107,normal
98,16,17,15,146,normal
72,6,19,8,105,normal
69,23,12,31,135,high
85,13,16,24,138,high
102,22,12,9,145,normal
103,14,20,14,151,normal
80,12,10,22,124,high
63,18,11,5,97,low
84,21,13,9,127,normal
72,10,10,29,121,high
79,22,17,13,131,normal
12,5,0,27,44,normal
19,1,1,38,59,normal
14,3,0,33,50,normal
16,3,1,37,57,normal
14,5,0,37,56,normal
11,2,1,20,34,normal
20,3,0,25,48,normal
20,0,1,30,51,normal
13,2,1,17,33,normal
20,1,1,19,41,normal
10,2,1,12,25,low
14,2,0,25,41,normal
12,0,1,16,29,normal
11,5,1,31,48,normal
13,1,1,16,31,normal
17,3,0,10,30,low
11,1,0,22,34,normal
10,4,1,16,31,normal
15,3,1,32,51,normal
10,0,0,22,32,normal
20,1,1,16,38,normal
16,1,1,15,33,normal
14,4,1,32,51,normal
16,1,1,37,55,normal
10,2,1,36,49,normal
96,18,7,2,123,normal
51,14,0,5,70,low
63,25,2,8,98,low
72,7,1,4,84,low
86,18,6,1,111,low
105,4,4,20,133,normal
117,10,10,18,155,normal
120,36,32,0,188,heavy
135,20,31,0,186,heavy
112,40,42,3,197,heavy
135,13,20,3,171,heavy
105,35,24,2,166,normal
150,25,36,0,211,heavy
108,27,23,2,160,normal
108,40,45,1,194,heavy
118,19,21,1,159,normal
131,18,41,1,191,heavy
148,31,20,4,203,heavy
120,26,22,1,169,heavy
147,12,32,0,191,heavy
73,9,35,12,129,high
93,21,22,29,165,high
66,2,10,28,106,normal
18,6,6,6,36,low
78,1,16,30,125,high
69,15,24,20,128,normal
82,2,40,17,141,high
57,9,5,23,94,normal
25,5,14,26,70,normal
40,9,15,28,92,normal
52,6,13,21,92,normal
45,8,13,29,95,normal
67,10,7,25,109,normal
20,8,14,30,72,normal
44,8,4,29,85,normal
63,5,8,29,105,normal
119,15,20,13,167,normal
103,10,23,7,143,normal
42,14,15,14,85,normal
67,20,24,12,123,normal
56,18,29,17,120,high
65,16,32,15,128,high
107,11,26,19,163,high
11,18,22,10,61,normal
28,15,27,12,82,normal
45,17,7,6,75,low
66,12,27,6,111,normal
104,40,22,9,175,heavy
113,21,26,5,165,high
120,29,37,6,192,heavy
129,10,39,6,184,heavy
119,29,40,10,198,heavy
119,25,32,9,185,heavy
123,10,30,7,170,heavy
111,33,28,5,177,heavy
110,12,47,8,177,heavy
139,15,43,9,206,heavy
132,29,25,7,193,heavy
51,8,18,18,95,normal
76,5,14,20,115,normal
53,15,13,23,104,normal
50,25,19,9,103,normal
86,24,20,34,164,high
67,23,14,13,117,normal
54,9,15,7,85,low
59,12,16,35,122,high
109,25,15,5,154,normal
73,18,10,35,136,high
65,24,14,19,122,normal
94,10,11,22,137,high
106,9,12,31,158,high
18,3,0,11,32,low
17,1,1,36,55,normal
12,0,0,22,34,normal
11,1,0,19,31,normal
16,1,0,32,49,normal
12,3,1,13,29,normal
14,4,1,27,46,normal
11,3,1,37,52,normal
17,2,0,18,37,normal
18,4,1,39,62,normal
20,4,0,32,56,normal
15,0,0,28,43,normal
11,4,0,12,27,low
19,5,1,35,60,normal
15,0,1,26,42,normal
11,4,0,31,46,normal
19,2,1,33,55,normal
12,4,1,29,46,normal
15,5,1,16,37,normal
14,4,1,21,40,normal
19,4,1,17,41,normal
10,2,1,12,25,low
10,0,0,11,21,low
20,4,1,33,58,normal
10,1,0,12,23,low
